light,27.5,55.0,110.0,220.0,440.0,660.0,880.0,1100.0
growth,0.02540136789652475,0.03881655627824028,0.05868874222480438,0.08112092740893775,0.10436388592874635,0.10379774011435687,0.09928297981564682,0.09326980846686118
growth error,0.0017800808033777153,0.006374959817381697,0.009331386031400888,0.00960677582422893,0.008618096705675019,0.0101851013605673,0.012519822710650629,0.01091761610217246
DW,132.1999999999868,165.5833333333264,172.99999999998764,219.5624999999909,221.3749999999681,259.75000000000745,256.3750000000198,230.85714285713226
DW error,39.78159122007644,58.49650986738722,29.051678092634088,50.161480312513035,15.118283632761871,19.26352338831502,21.545977969596738,58.615778795549325
light cap,18.406906733459515,41.64550284944196,66.36869513959901,142.98617474655308,250.85301880918777,384.1248990783544,506.2682389637313,590.489094655623
light cap error,1.1674327547964243,3.984279832198916,6.635374255551274,8.851004391689983,20.536119062373654,13.251652127930775,19.90475709069935,37.933319631898684
O2,30.478676371412018,42.52663583502897,80.68059286390461,119.47482183215507,184.62888613210686,nan,251.5988586651002,nan
O2 error,5.653654596970512,6.904142488537753,11.769256144032534,19.049667048021004,24.721668451744957,nan,49.44168160753706,nan
CO2,12.050970805267019,28.056173607225947,62.88621957355682,69.18230841129959,110.04990942018827,151.72564890947933,170.3240247555621,168.4691369023676
CO2 error,4.524556818385917,8.08915592289176,33.58976045708098,13.667366543655426,40.323388348333296,25.28809688525215,16.003163195381713,11.644241842227233
dark resp,-5.45712484066929,-6.433104056315689,-12.356453265474366,-18.947304194745083,-24.681872616570033,nan,-40.937164629577005,nan
dark resp error,2.7010237527743275,1.114817897409041,5.976410534736441,2.294366948781616,7.613814073798319,nan,14.600821167897807,nan
chl,2.114301,2.2667607999999997,1.99003188,2.028003,1.72596,1.6838897249999998,1.4964073199999999,1.3376189999999997
chl error,0.25488972955749756,0.20390204411055818,0.1923739019910885,0.20315191964512672,0.04862645345149061,0.1642073164660531,0.11939882658995016,0.13579943877242268
glycogen,11.08223214285714,14.844216071428571,22.380556249999998,31.071912500000003,42.55701875,51.7791875,56.56767500000001,52.78214375
glycogen error,1.4860800152256206,3.377519035557736,2.8358041910300043,3.719513807615024,9.529392793125083,8.219514470149713,7.064048114741411,9.87523149878474
protein,53.208879121219596,55.7024935481813,56.89104916019854,61.74709884730496,61.73809835382567,58.87296037224767,60.91462008311896,60.95404899652077
protein error,10.375641694546648,9.43497892218621,4.5452797757928325,7.5755843682056465,10.7378213687569,13.498386717870842,10.437323972457595,13.570084523192378
carbon,36.32,40.24069010416667,37.703285217285156,34.992316563924156,39.038937377929685,36.616600545247394,37.82045166015625,38.29886703491211
carbon error,1.1166915420114913,4.442528458824169,1.440226566164673,2.438744291223564,1.321628561737045,3.2358108234933125,3.5906020333862494,2.165369879563748
nitrogen,10.8,10.65932191212972,10.15113844871521,10.048288904825846,9.002928146362304,9.111085402170817,8.837294342041016,8.932129096984863
nitrogen error,0.10000000000000053,0.135656768422954,0.26828238341835164,0.328420004945694,0.31748896398284754,0.5110996521792769,0.5156043119053177,0.3346942643533242
light error,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
light calc,25.062354100023022,45.271407224357525,69.05413367126404,117.22179996302017,203.96857542929553,266.18857298980487,355.4491780144889,460.4061010310144
